datasetID,accessible,institution,dataStructure,cdm_data_type,class,title,minLongitude,maxLongitude,longitudeSpacing,minLatitude,maxLatitude,latitudeSpacing,minAltitude,maxAltitude,minTime,maxTime,timeSpacing,griddap,subset,tabledap,MakeAGraph,sos,wcs,wms,files,fgdc,iso19115,metadata,sourceUrl,infoUrl,rss,email,testOutOfDate,outOfDate,summary
allDatasets,public,NOAA/AOML,table,Other,EDDTableFromAllDatasets,* The List of All Active Datasets in this ERDDAP *,,,,,,,,,,,,,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/allDatasets.subset,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/allDatasets,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/allDatasets.graph,,,,,,,https://erddap.aoml.noaa.gov/gdp/erddap/info/allDatasets/index,https://erddap.aoml.noaa.gov/gdp/erddap,https://erddap.aoml.noaa.gov/gdp/erddap,https://erddap.aoml.noaa.gov/gdp/erddap/rss/allDatasets.rss,https://erddap.aoml.noaa.gov/gdp/erddap/subscriptions/add.html?datasetID=allDatasets&showErrors=false&email=,,,This dataset is a table which has a row of information for each dataset currently active in this ERDDAP.
drifter_hourly_qc,public,NOAA Atlantic Oceanographic and Meteorological Laboratory,table,Trajectory,EDDTableFromMultidimNcFiles,Global Drifter Program - 1 Hour Interpolated QC Drifter Data,-180.0,180.0,,-78.30718,89.98403,,,,1987-10-02T13:00:00Z,2022-10-31T00:00:00Z,,,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/drifter_hourly_qc.subset,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/drifter_hourly_qc,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/drifter_hourly_qc.graph,,,,https://erddap.aoml.noaa.gov/gdp/erddap/files/drifter_hourly_qc/,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/fgdc/xml/drifter_hourly_qc_fgdc.xml,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/iso19115/xml/drifter_hourly_qc_iso19115.xml,https://erddap.aoml.noaa.gov/gdp/erddap/info/drifter_hourly_qc/index,(local files),https://www.aoml.noaa.gov/phod/dac/dirall.html,https://erddap.aoml.noaa.gov/gdp/erddap/rss/drifter_hourly_qc.rss,https://erddap.aoml.noaa.gov/gdp/erddap/subscriptions/add.html?datasetID=drifter_hourly_qc&showErrors=false&email=,,,"Global Drifter Program hourly drifting buoy collection. Quality control interpolated (interpolation via mathematical model fitting) data. Hourly Drifter data product exists from early 2000's to present, well suited for observing smaller-scale oceanic processes. NOAA-Atlantic Oceanographic & Meteorological Laboratory (AOML) data from a local source. The hourly QC dataset is updated on a quarterly basis, i.e. every 3 months, in delayed mode, but the data processing team has experienced unforeseen setbacks. The GDP is working as quickly as possible to update the dataset. Please reference the acknowledgment attribute to cite the dataset's DOI."
drifter_6hour_qc,public,NOAA Atlantic Oceanographic and Meteorological Laboratory,table,Trajectory,EDDTableFromMultidimNcFiles,Global Drifter Program - 6 Hour Interpolated QC Drifter Data,-179.999,180.0,,-78.305,89.984,,,,1979-02-15T00:00:00Z,2024-08-16T12:00:00Z,,,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/drifter_6hour_qc.subset,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/drifter_6hour_qc,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/drifter_6hour_qc.graph,,,,https://erddap.aoml.noaa.gov/gdp/erddap/files/drifter_6hour_qc/,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/fgdc/xml/drifter_6hour_qc_fgdc.xml,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/iso19115/xml/drifter_6hour_qc_iso19115.xml,https://erddap.aoml.noaa.gov/gdp/erddap/info/drifter_6hour_qc/index,(local files),https://www.aoml.noaa.gov/phod/dac/dirall.html,https://erddap.aoml.noaa.gov/gdp/erddap/rss/drifter_6hour_qc.rss,https://erddap.aoml.noaa.gov/gdp/erddap/subscriptions/add.html?datasetID=drifter_6hour_qc&showErrors=false&email=,,,"Global Drifter Program 6-hourly drifting buoy collection. Quality control krigged (interpolation method) data. 6-Hour Drifter data product exists from 1979 to present, well suited for observing larger-scale oceanic processes. NOAA-Atlantic Oceanographic & Meteorological Laboratory (AOML) data from a local source. The six-hourly QC dataset is updated on a quarterly basis, i.e. every 3 months, in delayed mode. Please reference the acknowledgment attribute to cite the dataset's DOI."
drifter_annualmeans,public,NOAA/AOML & Univ. Miami,grid,Grid,EDDGridFromNcFiles,Global Drifter Program - Climatology - Annual Means,-179.875,179.875,0.25,-72.875,84.875,0.25,,,,,,https://erddap.aoml.noaa.gov/gdp/erddap/griddap/drifter_annualmeans,,,https://erddap.aoml.noaa.gov/gdp/erddap/griddap/drifter_annualmeans.graph,,,https://erddap.aoml.noaa.gov/gdp/erddap/wms/drifter_annualmeans/request,https://erddap.aoml.noaa.gov/gdp/erddap/files/drifter_annualmeans/,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/fgdc/xml/drifter_annualmeans_fgdc.xml,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/iso19115/xml/drifter_annualmeans_iso19115.xml,https://erddap.aoml.noaa.gov/gdp/erddap/info/drifter_annualmeans/index,(local files),https://www.aoml.noaa.gov/,https://erddap.aoml.noaa.gov/gdp/erddap/rss/drifter_annualmeans.rss,https://erddap.aoml.noaa.gov/gdp/erddap/subscriptions/add.html?datasetID=drifter_annualmeans&showErrors=false&email=,,,Annual Means of Drifter Data. NOAA/Atlantic Oceanographic & Meteorological Laboratory (AOML) & Univ. Miami data from a local source.
drifter_currentvariance,public,NOAA/AOML & Univ. Miami,grid,Grid,EDDGridFromNcFiles,Global Drifter Program - Climatology - Current Variance,-179.875,179.875,0.25,-72.875,84.875,0.25,,,,,,https://erddap.aoml.noaa.gov/gdp/erddap/griddap/drifter_currentvariance,,,https://erddap.aoml.noaa.gov/gdp/erddap/griddap/drifter_currentvariance.graph,,,https://erddap.aoml.noaa.gov/gdp/erddap/wms/drifter_currentvariance/request,https://erddap.aoml.noaa.gov/gdp/erddap/files/drifter_currentvariance/,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/fgdc/xml/drifter_currentvariance_fgdc.xml,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/iso19115/xml/drifter_currentvariance_iso19115.xml,https://erddap.aoml.noaa.gov/gdp/erddap/info/drifter_currentvariance/index,(local files),https://www.aoml.noaa.gov/,https://erddap.aoml.noaa.gov/gdp/erddap/rss/drifter_currentvariance.rss,https://erddap.aoml.noaa.gov/gdp/erddap/subscriptions/add.html?datasetID=drifter_currentvariance&showErrors=false&email=,,,"Current variance (eddy kinetic energy) derived from residuals with respect to the time-mean, seasonal, spatial gradient, and SOI-related currents"
drifter_monthlymeans,public,NOAA/AOML & Univ. Miami,grid,Grid,EDDGridFromNcFiles,Global Drifter Program - Climatology - Monthly Means,-179.875,179.875,0.25,-72.875,84.875,0.25,,,,,,https://erddap.aoml.noaa.gov/gdp/erddap/griddap/drifter_monthlymeans,,,https://erddap.aoml.noaa.gov/gdp/erddap/griddap/drifter_monthlymeans.graph,,,https://erddap.aoml.noaa.gov/gdp/erddap/wms/drifter_monthlymeans/request,https://erddap.aoml.noaa.gov/gdp/erddap/files/drifter_monthlymeans/,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/fgdc/xml/drifter_monthlymeans_fgdc.xml,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/iso19115/xml/drifter_monthlymeans_iso19115.xml,https://erddap.aoml.noaa.gov/gdp/erddap/info/drifter_monthlymeans/index,(local files),https://www.aoml.noaa.gov/,https://erddap.aoml.noaa.gov/gdp/erddap/rss/drifter_monthlymeans.rss,https://erddap.aoml.noaa.gov/gdp/erddap/subscriptions/add.html?datasetID=drifter_monthlymeans&showErrors=false&email=,,,"Monthly Means of Drifter Data. Please note, this dataset does not include the variable N, or number of drifter-days per square degree. To retrieve the variable N, use the variable N in the Climatology - Annual Means dataset. NOAA/Atlantic Oceanographic & Meteorological Laboratory (AOML) & Univ. Miami data from a local source. Cite dataset using https://doi.org/10.1016/j.dsr.2017.04.009"
drifter_loopers,public,NOAA/AOML,table,Other,EDDTableFromMultidimNcFiles,Global Drifter Program - Looper Trajectories,-179.999,180.0,,-77.599,89.705,,,,,,,,,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/drifter_loopers,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/drifter_loopers.graph,,,,https://erddap.aoml.noaa.gov/gdp/erddap/files/drifter_loopers/,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/fgdc/xml/drifter_loopers_fgdc.xml,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/iso19115/xml/drifter_loopers_iso19115.xml,https://erddap.aoml.noaa.gov/gdp/erddap/info/drifter_loopers/index,(local files),https://www.aoml.noaa.gov/phod/gdp/loopers.php,https://erddap.aoml.noaa.gov/gdp/erddap/rss/drifter_loopers.rss,https://erddap.aoml.noaa.gov/gdp/erddap/subscriptions/add.html?datasetID=drifter_loopers&showErrors=false&email=,,,loopers. Global Drifter Program product derived from drifting buoy data containing looper trajectory segments
drifter_nonloopers,public,NOAA/AOML,table,Other,EDDTableFromMultidimNcFiles,Global Drifter Program - Nonlooper Trajectories,-179.999,180.0,,-78.305,89.984,,,,,,,,,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/drifter_nonloopers,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/drifter_nonloopers.graph,,,,https://erddap.aoml.noaa.gov/gdp/erddap/files/drifter_nonloopers/,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/fgdc/xml/drifter_nonloopers_fgdc.xml,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/iso19115/xml/drifter_nonloopers_iso19115.xml,https://erddap.aoml.noaa.gov/gdp/erddap/info/drifter_nonloopers/index,(local files),https://www.aoml.noaa.gov/phod/gdp/loopers.php,https://erddap.aoml.noaa.gov/gdp/erddap/rss/drifter_nonloopers.rss,https://erddap.aoml.noaa.gov/gdp/erddap/subscriptions/add.html?datasetID=drifter_nonloopers&showErrors=false&email=,,,Global Drifter Program product derived from drifting buoy data containing nonlooper trajectory segments
OSMC_RealTime,public,OSMC,table,Point,EDDTableFromErddap,OSMC flattened observations from GTS,-180.0,180.0,,-89.0,89.0,,,,,,,,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/OSMC_RealTime.subset,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/OSMC_RealTime,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/OSMC_RealTime.graph,,,,,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/fgdc/xml/OSMC_RealTime_fgdc.xml,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/iso19115/xml/OSMC_RealTime_iso19115.xml,https://erddap.aoml.noaa.gov/gdp/erddap/info/OSMC_RealTime/index,(source database),www.osmc.noaa.gov,https://erddap.aoml.noaa.gov/gdp/erddap/rss/OSMC_RealTime.rss,https://erddap.aoml.noaa.gov/gdp/erddap/subscriptions/add.html?datasetID=OSMC_RealTime&showErrors=false&email=,,,"OSMC flattened observations from GTS, providing tupled data availability"
RAFOS_SOFAR_Floats,public,NOAA/AOML & WHOI,table,Trajectory,EDDTableFromMultidimNcFiles,Subsurface Floats,-135.647,187.803,,-65.782,76.515251,,,,1972-09-28T00:00:00Z,2019-01-23T18:00:00Z,,,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/RAFOS_SOFAR_Floats.subset,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/RAFOS_SOFAR_Floats,https://erddap.aoml.noaa.gov/gdp/erddap/tabledap/RAFOS_SOFAR_Floats.graph,,,,https://erddap.aoml.noaa.gov/gdp/erddap/files/RAFOS_SOFAR_Floats/,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/fgdc/xml/RAFOS_SOFAR_Floats_fgdc.xml,https://erddap.aoml.noaa.gov/gdp/erddap/metadata/iso19115/xml/RAFOS_SOFAR_Floats_iso19115.xml,https://erddap.aoml.noaa.gov/gdp/erddap/info/RAFOS_SOFAR_Floats/index,(local files),https://www.aoml.noaa.gov/phod/float_traj,https://erddap.aoml.noaa.gov/gdp/erddap/rss/RAFOS_SOFAR_Floats.rss,https://erddap.aoml.noaa.gov/gdp/erddap/subscriptions/add.html?datasetID=RAFOS_SOFAR_Floats&showErrors=false&email=,,,"Acoustically tracked subsurface float dataset, version number 3.0. This dataset of acoustically tracked subsurface float observations was initially compiled by the World Ocean Circulation Experiment (WOCE) Subsurface Float Data Assembly Center (WFDAC) at the Woods Hole Oceanographic Institution in 2014 and was subsequently updated in 2017 and 2024 with more recent float datasets. The float observations are collected by acoustically tracked, neutrally-buoyant subsurface floats which collect position data while drifting beneath the ocean surface. The floats included are SOFAR, RAFOS, RAFOS-VOCHA, MARVOR, ALFOS, and RAFOS-enabled Argos."
