datasetID,accessible,institution,dataStructure,cdm_data_type,class,title,minLongitude,maxLongitude,longitudeSpacing,minLatitude,maxLatitude,latitudeSpacing,minAltitude,maxAltitude,minTime,maxTime,timeSpacing,griddap,subset,tabledap,MakeAGraph,sos,wcs,wms,files,fgdc,iso19115,metadata,sourceUrl,infoUrl,rss,email,testOutOfDate,outOfDate,summary
allDatasets,public,NOAA Office of Response and Restoration,table,Other,EDDTableFromAllDatasets,* The List of All Active Datasets in this ERDDAP *,,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/allDatasets.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/allDatasets,https://www.diver.orr.noaa.gov/erddap/tabledap/allDatasets.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/allDatasets/index,https://www.diver.orr.noaa.gov/erddap,https://www.diver.orr.noaa.gov/erddap,https://www.diver.orr.noaa.gov/erddap/rss/allDatasets.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=allDatasets&showErrors=false&email=,,,This dataset is a table which has a row of information for each dataset currently active in this ERDDAP.
cubes_fact_bioassay_greatlakes,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Bioassay, Great Lakes",,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_greatlakes.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_greatlakes,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_greatlakes.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_bioassay_greatlakes/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_bioassay_greatlakes.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_bioassay_greatlakes&showErrors=false&email=,,,Bioassay - Great Lakes. NOAA ORR data from a local source.
cubes_fact_bioassay_northeast,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Bioassay, Northeast",,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_northeast.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_northeast,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_northeast.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_bioassay_northeast/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_bioassay_northeast.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_bioassay_northeast&showErrors=false&email=,,,Bioassay - Northeast. NOAA ORR data from a local source.
cubes_fact_bioassay_northwest,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Bioassay, Northwest",,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_northwest.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_northwest,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_northwest.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_bioassay_northwest/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_bioassay_northwest.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_bioassay_northwest&showErrors=false&email=,,,Bioassay - Northwest. NOAA ORR data from a local source.
cubes_fact_bioassay_southeast,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Bioassay, Southeast",,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_southeast.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_southeast,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_southeast.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_bioassay_southeast/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_bioassay_southeast.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_bioassay_southeast&showErrors=false&email=,,,Bioassay - Southeast. NOAA ORR data from a local source.
cubes_fact_bioassay_southwest,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Bioassay, Southwest",,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_southwest.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_southwest,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_southwest.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_bioassay_southwest/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_bioassay_southwest.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_bioassay_southwest&showErrors=false&email=,,,Bioassay - Southwest. NOAA ORR data from a local source.
stage_dict_chemdict,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Chemical Codes, National",,,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_dict_chemdict,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_dict_chemdict.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/stage_dict_chemdict/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/stage_dict_chemdict.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=stage_dict_chemdict&showErrors=false&email=,,,Chemical Codes - National. NOAA ORR data from a local source.
cubes_fact_observations_greatlakes,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Field Observations, Great Lakes",,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_greatlakes.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_greatlakes,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_greatlakes.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_observations_greatlakes/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_observations_greatlakes.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_observations_greatlakes&showErrors=false&email=,,,Field Observations - Great Lakes
cubes_fact_observations_northwest,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Field Observations, Northwest",,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_northwest.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_northwest,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_northwest.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_observations_northwest/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_observations_northwest.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_observations_northwest&showErrors=false&email=,,,Field Observations - Northwest
cubes_fact_observations_southeast,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Field Observations, Southeast",,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_southeast.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_southeast,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_southeast.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_observations_southeast/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_observations_southeast.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_observations_southeast&showErrors=false&email=,,,Field Observations - Southeast
cubes_fact_observations_southeast_dwh_doinrda,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Field Observations, Southeast, DWH DOI NRDA",,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_southeast_dwh_doinrda.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_southeast_dwh_doinrda,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_southeast_dwh_doinrda.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_observations_southeast_dwh_doinrda/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_observations_southeast_dwh_doinrda.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_observations_southeast_dwh_doinrda&showErrors=false&email=,,,Field Observations - Southeast - DWH DOI NRDA
cubes_fact_observations_southeast_dwh_noaanrda,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Field Observations, Southeast, DWH NOAA NRDA",,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_southeast_dwh_noaanrda.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_southeast_dwh_noaanrda,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_southeast_dwh_noaanrda.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_observations_southeast_dwh_noaanrda/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_observations_southeast_dwh_noaanrda.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_observations_southeast_dwh_noaanrda&showErrors=false&email=,,,Field Observations - Southeast - DWH NOAA NRDA
cubes_fact_instruments_southeast_dwh_noaanrda,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Instruments, Southeast, DWH NOAA NRDA",,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_instruments_southeast_dwh_noaanrda.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_instruments_southeast_dwh_noaanrda,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_instruments_southeast_dwh_noaanrda.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_instruments_southeast_dwh_noaanrda/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_instruments_southeast_dwh_noaanrda.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_instruments_southeast_dwh_noaanrda&showErrors=false&email=,,,Instruments - Southeast - DWH NOAA NRDA
cubes_fact_photographs_southeast_dwh_noaanrda,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Photographs, Southeast, DWH NOAA NRDA",,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_photographs_southeast_dwh_noaanrda.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_photographs_southeast_dwh_noaanrda,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_photographs_southeast_dwh_noaanrda.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_photographs_southeast_dwh_noaanrda/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_photographs_southeast_dwh_noaanrda.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_photographs_southeast_dwh_noaanrda&showErrors=false&email=,,,Photographs - Southeast - DWH NOAA NRDA
stage_qualify_greatlakes_qm_public_only,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Qualifier Codes, Great Lakes",,,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_qualify_greatlakes_qm_public_only,,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/stage_qualify_greatlakes_qm_public_only/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/stage_qualify_greatlakes_qm_public_only.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=stage_qualify_greatlakes_qm_public_only&showErrors=false&email=,,,Qualifier Codes - Great Lakes. NOAA ORR data from a local source.
stage_qualify_northeast_qm_public_only,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Qualifier Codes, Northeast",,,,,,,,,,,,,,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_qualify_northeast_qm_public_only,,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/stage_qualify_northeast_qm_public_only/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/stage_qualify_northeast_qm_public_only.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=stage_qualify_northeast_qm_public_only&showErrors=false&email=,,,Qualifier Codes - Northeast. NOAA ORR data from a local source.
