datasetID,accessible,institution,dataStructure,cdm_data_type,class,title,minLongitude,maxLongitude,longitudeSpacing,minLatitude,maxLatitude,latitudeSpacing,minAltitude,maxAltitude,minTime,maxTime,timeSpacing,griddap,subset,tabledap,MakeAGraph,sos,wcs,wms,files,fgdc,iso19115,metadata,sourceUrl,infoUrl,rss,email,testOutOfDate,outOfDate,summary
,,,,,,,degrees_east,degrees_east,degrees_east,degrees_north,degrees_north,degrees_north,m,m,UTC,UTC,seconds,,,,,,,,,,,,,,,,,,
allDatasets,public,NOAA Office of Response and Restoration,table,Other,EDDTableFromAllDatasets,* The List of All Active Datasets in this ERDDAP *,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,https://www.diver.orr.noaa.gov/erddap/tabledap/allDatasets.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/allDatasets,https://www.diver.orr.noaa.gov/erddap/tabledap/allDatasets.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/allDatasets/index,https://www.diver.orr.noaa.gov/erddap,https://www.diver.orr.noaa.gov/erddap,https://www.diver.orr.noaa.gov/erddap/rss/allDatasets.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=allDatasets&showErrors=false&email=,,NaN,This dataset is a table which has a row of information for each dataset currently active in this ERDDAP.
cubes_fact_bioassay_greatlakes,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Bioassay, Great Lakes",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_greatlakes.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_greatlakes,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_greatlakes.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_bioassay_greatlakes/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_bioassay_greatlakes.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_bioassay_greatlakes&showErrors=false&email=,,NaN,Bioassay - Great Lakes. NOAA ORR data from a local source.
cubes_fact_bioassay_northeast,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Bioassay, Northeast",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_northeast.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_northeast,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_northeast.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_bioassay_northeast/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_bioassay_northeast.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_bioassay_northeast&showErrors=false&email=,,NaN,Bioassay - Northeast. NOAA ORR data from a local source.
cubes_fact_bioassay_northwest,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Bioassay, Northwest",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_northwest.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_northwest,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_northwest.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_bioassay_northwest/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_bioassay_northwest.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_bioassay_northwest&showErrors=false&email=,,NaN,Bioassay - Northwest. NOAA ORR data from a local source.
cubes_fact_bioassay_southeast,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Bioassay, Southeast",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_southeast.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_southeast,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_southeast.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_bioassay_southeast/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_bioassay_southeast.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_bioassay_southeast&showErrors=false&email=,,NaN,Bioassay - Southeast. NOAA ORR data from a local source.
cubes_fact_bioassay_southwest,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Bioassay, Southwest",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_southwest.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_southwest,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_bioassay_southwest.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_bioassay_southwest/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_bioassay_southwest.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_bioassay_southwest&showErrors=false&email=,,NaN,Bioassay - Southwest. NOAA ORR data from a local source.
stage_dict_chemdict,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Chemical Codes, National",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_dict_chemdict,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_dict_chemdict.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/stage_dict_chemdict/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/stage_dict_chemdict.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=stage_dict_chemdict&showErrors=false&email=,,NaN,Chemical Codes - National. NOAA ORR data from a local source.
cubes_fact_observations_greatlakes,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Field Observations, Great Lakes",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_greatlakes.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_greatlakes,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_greatlakes.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_observations_greatlakes/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_observations_greatlakes.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_observations_greatlakes&showErrors=false&email=,,NaN,Field Observations - Great Lakes
cubes_fact_observations_northwest,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Field Observations, Northwest",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_northwest.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_northwest,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_observations_northwest.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_observations_northwest/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_observations_northwest.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_observations_northwest&showErrors=false&email=,,NaN,Field Observations - Northwest
